Darshak Tug,30
Darshak Warship,395
Darshak Corsair,525
Darshak Acolyte,30
Darshak Priest,200
Necromancer,200
Orga,12
Orga Warrior,25
Orga Anger,60
Orga Spite,180
Orga Envy,320
Frost Orga,90
Orga Shaman,55
Orga Mudang,330
Orga Warlock,185
Orga Hemlock,240
Orga Mallock,340
Orga Dredlock,450
Orga Direlock,655
Orga Traylock,375
Orga Callock,560
Orga Fellock,740
Orga Magician,120
Orga Berserk,65
Old Orga Berserker,70
Orga Berserker,75
Orga Rage,225
Orga Fury,270
Orga Wrath,335
Orga Frenzy,395
Orga Hatred,535
Orga Malice,590
Orga Loathing,740
Orga Zealot,240
Orga Razzia,300
Orga Petulant,285
Bartok,600
Black Locust,615
Wake Me Up,200
Corsica,200
Dark Recluse,845
Fire Dra'ryx,50
Water Burst,200
Watery Guardian,415
Ethereal Wurm,500
Darshak Necromancer,600
Darshak Rebel Roustabout,350
Darshak Rebel Swordsman,470
Turmoil,350
Ethereal Spume,400
Albino Flying Foxweir,615
Crypt Rat,510
Spectral Haremau Kitten,590
Spectral Rudremau,685
Spectral Greymyr,765
Spectral Amedon,600
Spectral Sazaja,865
Black Mantis,630
Spectral Yorilla,815
Crypt Mamba,680
Mange Feral,430
Blight Feral,460
Darshak Woodsman,330
Darshak Petty Officer,385
Greater Spectre,300
Darshak Harrier,355
Darshak Tracker,335
Elite Darshak Skirmisher,375
Experienced Darshak Captain,410
Myrm Chevalier,530
Myrm Marquis,515
Leafcutter Myrm,420
Myrm Gatherer,305
Myrm Patrician,405
Myrm Defender,410
Myrm Vagabond,410
Myrm Tunneler,480
Timber Feral,365
Rabid Timber Feral,395
Barrens Feral,465
Darshak Swabbie,25
Fire Myrm,525
Tree Giant Wight,385
Blight Shade,640
Darshak Bloodwrath,550
Darshak Ancient,790
Darshak Brawler,530
Mushroom (Purple),5
Mushroom (Brown),5
Darshak Spirit,520
Carrion Beetle,540
Bar'Kin,415
Jun'Kin,380
Deth'Kin,435
Gaw'Kin,435
Orf'Kin,425
Kil'Kin,575
Lava Elemental,520
Ctenizidae,820
Tearer,520
Florese Vermine,470
Banana Arachne,495
Corpse Knight,480
Corrosive Corpse,500
Darshak Assassin,515
Darshak Bodysnatcher,350
Darshak Houndsman,525
Darshak Pyromancer,680
Darshak Rebel Swashbuckler,690
Darshak Slave Master,680
Starved Blight Feral,520
Trained Barrens Feral,525
Unstable Stitchling,200
Lesser Stitchling,545
Ancient Darshak Liche,630
Mossy Greymyr,435
Greater Liche,910
Chosen Host,475
Mammoth Banana Arachne,610
Mammoth ViolíÂne Arachne,705
Darshak Rebel Commander,700
Darshak Seamstress,780
Hell Boar,505
Darshak Slaver,410
Darshak Brava,530
Darshak Ruffian,470
Vermine Arachne,520
Darshak Overseer,795
Cavern Wurm,530
Lava Wurm,555
Fellbuck,280
River Crawler,225
Cave Maha Rukness,240
Bog Feral,240
River Lizard,220
Tuder Mander,200
Mild Mander,215
Striped Jade Arachnoid,535
Viper Tok'Han,575
Brackwater Leech,310
Flood Meshra,450
Nocens Winder,450
Reedcat,520
Sortoise,500
Spicy Mander,450
Large Eukaryid,275
Small Eukaryid,225
Razu-Ohwi,200
Elite Eukaryid,305
Blind Meshra,500
Ebb Meshra,510
Infant Ebb Meshra,125
Ebb Meshra Warden,600
Deadly Hornet,530
Flotsam Meshra,480
Delta Toad,525
Green Sea Beetle,555
Megabite,480
Riptide Meshra,510
Gitoise,535
Smoky Mander,500
Lowland Hawk,480
Riptide Reaver,680
Nakika,580
Parrot,5
Foil Vulture,135
Lord of the Undermarsh,785
Horseshoe Crawler,360
Reedcat Stalker,550
Madzume Andvari,900
Mazarine Crawler,385
Booty Crawler,385
Royal Seahorse,390
Striped Seasteed,360
Mountain Krait,600
Mountain Wasp,625
Swarm of Bees,630
Fleet Foxweir,650
Fickle Foxweir,595
Shadowcat,610
Starstag,690
Mountain Bear,625
Mountain Grizzly Bear,655
Smoky Bear,665
Dire Bear,675
Lost Bear,960
Solar Bear,675
Wild Stallion,710
Sky Bison,725
Mountain Bison,735
Hickory Giant,725
Shadowcat Huntress,730
Giant River Lizard,745
Abominable Snow Yorilla,805
Frost Yorilla,740
Alpine Timber Feral,725
Frost Foxweir,735
Blizzard Greymyr,680
Snowstag,755
Glacier Bear Cub,700
Glacier Bear,820
Mistral Kestrel,875
Crookbeak Kestrel,815
Venomous Boma Winder,46
Honor Guard Commander,210
Snowcat,410
Shadowcat Warqueen,810
Hungry Hell Boar,815
Lowland Panther,780
Tawny Yorilla,780
Mountain Goat,775
Mountain Panther,1000
Utsanna Tawny Yorilla,930
Fledgling Kestrel,830
Lunar Bear Guardian,760
Hungry Hungry Hellebore,540
(Super) Crookbeak Kestrel,950
Mountain Bear Chieftain,1085
Whipper Wyrm,265
Hooded Guardian,50
Skeletal Guardian,20
Mammoth Org,1010
Myrm Matriarch,835
Overgrown Greymyr,820
Gruff Mountain Goat,845
Toisicle,870
Mountain Greymyr,1240
Mountain Rat,210
Terrabite,830
Org,755
Blephat,745
Rifter,810
Raven,1015
Alpine Goat,910
Electrified Fogbank,750
Young Org,425
Rare Vulture,100
Hungry Mountain Bear,640
Beehive,100
Mauling Spirit,830
Crushing Spirit,800
Damaged Spirit,800
Haunting Shade,700
Silverback Night Wendecka,220
Paradise Butterfly,200
Greater Blymoid,140
Greater Guardian,190
Giayl,1250
Trainer Spirit,900
Midsummer Maha Ruknee,140
Silverback Wendecka,180
Darshak Punk,450
Veteran Darshak Captain,40
Ore Weaver Arachne,745
Skeletal Hunger,1300
Bluff Billy Goat,900
Rocky Rai-Koon,750
Dark Myotis,1025
Skeletal Monk,1455
Dar'kin,735
Dar'kin Thrall,730
Gho-Wei Ghoulish,900
Flint Foxweir,750
Nocturne Wendecka,775
Red Bandit,855
Sao-La Starfawn,795
Bamboo Wildcat,890
Bamboo Mantis,755
Dar'kin Shadow,650
Fuu Nomad Shadow,750
Pan Guardian Shadow,740
Indigo Ravenhawk,855
Fang Warrior Shadow,670
Withering Priestess,1150
Eolith Crawler,715
Komodo Drakewyrm,665
Rust Blymoid,765
Pan-Dai Bear,1215
Sao-La Starstag,995
Mako Mouth,690
Aurora Wendecka,885
Elder Tae-Su,670
Rai-Koon,690
Indigo Crowlet,670
Gho-Wei Inkling,1200
Su Monk Shadow,525
Monsoon Drake,1600
Avalanche Meshra,1
Stone Wall,10
Anguished Spirit,450
Ice'kin,850
Justus,900
Blastus,900
Veritus,900
Industrus,900
Histus,900
Gho-Wei Carnivant,1350
Rotting Corpse,1170
Rotting Stare,1245
Fire Vermine,30
Boggle,580
Seagull,1
Mountain Bear Momma,985
Lord Pumpkin,1790
Darshak Pumpkomancer,1815
Foxweir Friend,1005
Dark Rift,1200
Nyrm,220
Moonlight Messenger,1750
Gorged Gull,595
Deathhawk,1235
Angry Fledgling,650
Crimsonhawk,1070
Badger,1030
Storm Incarnate,1170
Otissa Snake,1270
Tree Colossus,1265
Grove Guardian,1200
Thornwood Colossus,1255
Cedar Colossus,1510
Gilded Greymyr,1170
Granite Greymyr,1160
Greymyr Pusher,1130
Greisen Greymyr,1140
Moltenmyr,1325
Magmyr,1325
Augite Greymyr,995
Greymyr Shover,1130
Igneous Greymyr,1120
Mountain Bear Cub,365
Longwalker,1245
Penumbryx Shard,800
Shadowbug,1055
Shadow Hunter,1290
Grasping Horror,1970
Turbulent Manifestation,1830
Oneiromantic Grub,1170
Mirkmyr Mechanic,1140
Fragile Penumbryx,1105
Lesser Penumbryx,1245
Penumbryx,2145
Silverfir Scion,599
Silverfir Colossus,1175
Father Silversnag,2480
Solstimander,435
Darshak Clipper,200
White Winter Foxrein,1205
Burrowing Bear,1220
Haunted Pumpkin,970
Spooky Pumpkin,590
Sundering Stone,1940
Shambling Stone,1155
Shambling Silver,1150
Charged Chunk,1220
Precarious Pebble,1135
Heartwood Hierophant,2415
Samahe Raider,2370
Evil Noble King,2370
Snowy Maiden,2250
Dreamdrinker,2060
Glacial Guardian,1325
LIbrary Dweller,815
Frostbite Meshra,390
Berenstein Bear,770
Glacial Greymyr,540
Scarewan,1130
Snow Rudremau,580
Kolar Bear,1145
Scary Skeletal,550
Exploding Pumpkin,200
Snowbuck,510
Dour Dowager,1295
Small Slime Monster,260
Tiny Slime Monster,260
Medium Slime Monster,260
Large Slime Monster,260
the Guardian of the Helmet,440
the Guardian of the Sword,440
the Guardian of the Boots,440
Snow Yorilla,580
Orion,1280
Snowy Maiden,2250
Evil Noble King,2370
Ramandu,2620
Wizard Q'vynn,3435
Jerk Knight,1220
Money Balloon,1200
Dark Rift,1200
Dwarven Miner,1060
Mimic,1005
Grasper,999
Shadowguild Master Balloonist,855
Dankyssal Hunter,835
Thirsty Knowledge,735
Wasted Guardian,710
Lost Dream,505
Cash Golem,800
Moolah Minion,500
Shadow Strand,444
Minor Adumbration,444
Shadow Steed,777
Tracer Ray,800
Gnasher,995
Seasylvan,999
Shadowbug,1055
Blind Adumbration,1060
Visionary Adumbration,1115
Oneiromantic Grub,1170
Shadow Mantis,1180
Ill Cub,1185
Fumehorn Colossus,1510
Turbulent Manifestation,1830
Ethereal Hunter,855
Shadow Raider,1175
Rampaging Bison,1320
Hovering Hell Boar,810
Moss Scorp,610
Bark Scorp,835
Azul Scorp,945
Blue-Brim Bonnet,950
Spriggin Parasol,1000
Mobius Scorp,1090
Boss Scorp,1635
Vile Locust,180
Shadow Spinner,765
Shadow Bear,999
Mirkmyr Mechanic,1140
Dreamdrinker,2060
Shadowclaw Cleric,2500
Utsanna Shadowmau,815
Dank Presence,850
Escaping Yorilla,835
Escaping Arachnoid,870
Library Horus,975
Miasmic Myotis,1135
